experiment_type,gender,origin_area,average_GPA,family_type,only_child,leftbehind_experience,student_id,A_wisdom_knowledge,B_wisdom_knowledge,A_courage,B_courage,A_humanity,B_humanity,A_justice,B_justice,A_temperance,B_temperance,A_transcendence,B_transcendence,A_total_score,B_total_score
1,1,2,1.97,2,2,2,2022080089,3.33333333333333,3.41666666666667,3.625,3.75,3.6,4.5,3.44444444444444,3.22222222222222,3.63636363636364,4.09090909090909,3.66666666666667,3.75,3.54838709677419,3.79032258064516
1,2,2,3.67,5,2,2,2022080033,3.83333333333333,3.91666666666667,3.875,4.25,3.7,3.5,4,4.88888888888889,4.09090909090909,4.45454545454545,4.16666666666667,4.75,3.95161290322581,4.29032258064516
1,2,2,1.5,3,2,1,2022080140,2.41666666666667,2.83333333333333,3.25,5,2.9,3.8,3.11111111111111,3.77777777777778,2.90909090909091,3.45454545454545,2.75,2.91666666666667,2.85483870967742,3.53225806451613
1,2,2,3.27,4,2,2,2022080144,3.5,3.58333333333333,3.875,4.875,3.8,3.9,3.88888888888889,4.55555555555556,3.45454545454545,4.54545454545455,3.83333333333333,4.91666666666667,3.70967741935484,4.37096774193548
1,2,2,3.69,1,2,2,2022080090,3.75,4.66666666666667,3.75,4.875,3.5,4.3,3.88888888888889,4.66666666666667,4.09090909090909,4,3.66666666666667,4.33333333333333,3.7741935483871,4.45161290322581
1,2,1,2.2,3,2,2,2022080116,4,3.91666666666667,4,4,3.9,5,4,4.88888888888889,3.90909090909091,5,4,5,3.96774193548387,4.64516129032258
2,2,1,3,3,2,2,2022080123,3,3,3,3.375,3,3.5,3,3,3,3,3,3.25,3,3.17741935483871
2,1,2,3,2,2,1,2022080098,3.58333333333333,3.16666666666667,3.5,3,3.4,3.1,3.44444444444444,3.11111111111111,3.09090909090909,3.09090909090909,3.58333333333333,3.16666666666667,3.43548387096774,3.11290322580645
2,2,1,3.2,1,2,1,2022080110,4.08333333333333,3.08333333333333,4.125,3.125,4.3,3.4,4.88888888888889,3.22222222222222,4.54545454545455,3,4.08333333333333,3.25,4.32258064516129,3.17741935483871
2,1,1,3.2,3,2,2,2022080111,3.66666666666667,3.83333333333333,4.125,4,4,3.7,3.77777777777778,3.88888888888889,3.63636363636364,3.63636363636364,3.83333333333333,3.91666666666667,3.82258064516129,3.82258064516129
2,2,2,2.98,1,2,1,2022080106,3.58333333333333,3.66666666666667,4.25,4.25,3.5,3.5,3.66666666666667,3.88888888888889,3.54545454545455,3.81818181818182,3.75,3.66666666666667,3.69354838709677,3.7741935483871
2,2,2,3.75,2,2,2,2022080094,3.25,4,3.5,4,3.8,4.1,3.22222222222222,4,3.45454545454545,4,4.16666666666667,4,3.58064516129032,4.01612903225806
2,2,1,3.31,3,2,2,2022080109,4,4,4.125,4,4,4,4,4,4,4,4,4,4.01612903225806,4
2,2,2,3.41,3,2,2,2022080104,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,1,3.61,3,2,1,2022080107,3.41666666666667,3.83333333333333,3.5,4,3.5,3.7,3.55555555555556,3.77777777777778,3.27272727272727,3.72727272727273,3.83333333333333,3.83333333333333,3.51612903225806,3.80645161290323
2,2,2,3.1,3,2,2,2022080139,3.5,3.33333333333333,3.625,3.5,3.3,3.3,3.11111111111111,3.66666666666667,3.45454545454545,3.27272727272727,3.41666666666667,3.5,3.40322580645161,3.41935483870968
2,2,1,2.94,4,1,2,2022080102,4,3.16666666666667,4,3.25,4,3.4,4,3.55555555555556,4,3.27272727272727,4,3.25,4,3.30645161290323
2,2,1,3.36,3,2,1,2022080105,3.83333333333333,4.33333333333333,3.875,4.5,4,4.4,4,4.55555555555556,4,4.54545454545455,4,4.41666666666667,3.95161290322581,4.45161290322581
2,2,1,3.5,3,1,2,2022080093,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,3.15,4,2,1,2022080150,3.58333333333333,3.75,4.125,4,3.8,3.9,3.88888888888889,4,3.72727272727273,3.90909090909091,4,4,3.83870967741936,3.91935483870968
2,2,1,3.2,2,2,2,2022660102,3.58333333333333,3.33333333333333,3.625,3,3.5,3.5,3.55555555555556,3.22222222222222,3.45454545454545,3.45454545454545,3.41666666666667,3.41666666666667,3.51612903225806,3.33870967741936
2,2,2,3,2,2,2,2022080108,3.33333333333333,3.16666666666667,3.25,3.125,3.4,3.1,3.33333333333333,3,3.27272727272727,2.90909090909091,3.66666666666667,3.41666666666667,3.38709677419355,3.12903225806452
2,2,1,2.75,1,2,2,2022080138,3.91666666666667,3.58333333333333,4,4,4,3.4,4,4.11111111111111,4,3.72727272727273,4,3.91666666666667,3.98387096774194,3.7741935483871
2,1,1,3.33,3,2,2,2022080121,4.83333333333333,4.75,4.875,5,4.6,4.5,4.55555555555556,4.55555555555556,4.72727272727273,4.27272727272727,4.83333333333333,4.75,4.74193548387097,4.62903225806452
2,1,2,3.1,3,1,1,2022080113,3.91666666666667,4,4.25,4,3.5,4,3.33333333333333,4,3.09090909090909,4,3.66666666666667,4,3.61290322580645,4
2,2,1,2,3,2,2,2022080142,3.83333333333333,4.16666666666667,3.875,3.875,3.4,3.4,3.55555555555556,4,3.72727272727273,3.72727272727273,3.5,4,3.64516129032258,3.87096774193548
2,1,2,3.02,2,2,1,2022080091,3.41666666666667,3,3.875,3,3.6,3,3.33333333333333,3.11111111111111,3.72727272727273,3.18181818181818,3.66666666666667,3.08333333333333,3.59677419354839,3.06451612903226
2,1,2,3.1,2,2,2,2022080114,3.91666666666667,4.66666666666667,4,4.875,4,4.6,3.88888888888889,4.44444444444444,3.90909090909091,4.36363636363636,4,4.66666666666667,3.95161290322581,4.59677419354839
2,2,2,3.57,3,2,1,2022080088,4,4,4,4,3.5,4.1,3.66666666666667,3.88888888888889,3.54545454545455,4,3.91666666666667,4,3.7741935483871,4
2,1,1,2.7,5,1,2,2022080103,4.41666666666667,3,4.25,3,3.5,3,3.88888888888889,3,3.36363636363636,3,4.25,3,3.95161290322581,3
2,2,1,4,4,2,1,2020360691,4.25,4.83333333333333,4,4.625,3,4.2,3.55555555555556,4.88888888888889,4.36363636363636,4.81818181818182,3.91666666666667,4.58333333333333,3.87096774193548,4.66129032258065
